orf1	orf2	name1	name2	gi_score_exp1	se_exp1	gi_score_overlaps_zero_exp1	gi_score_exp2	se_exp2	gi_score_overlaps_zero_exp2	correlation_exp1	correlation_exp2	prob_interaction_median_exp1	prob_interaction_median_exp2	prob_interaction	prob_aggravating	prob_alleviating	prob_discordant	prob_no_interaction	prob_concordant
RVBD1822	RVBD3682	pgsA2	ponA2	-0.12	0.06	False	0.1	0.11	True	0.044	0.105	0.00217	0.00305	0.0004	0.00023	8e-05	9e-05	0.9996	0.00031
RVBD2447c	RVBD3682	folC	ponA2	-0.34	0.07	False	0.07	0.07	True	0.078	-0.004	0.00232	0.00304	0.0004	0.00027	0.0	0.00013	0.9996	0.00027
RVBD1854c	RVBD3682	ndh	ponA2	-0.35	0.12	False	0.19	0.15	True	0.009	-0.027	0.00234	0.00309	0.00038	0.00019	2e-05	0.00017	0.99962	0.00021
RVBD2754c	RVBD3682	thyX	ponA2	-0.41	0.05	False	0.48	0.09	False	0.196	0.076	0.00243	0.00332	0.00036	0.0	0.0	0.00036	0.99964	0.0
RVBD1025	RVBD3682	rv1025	ponA2	-0.55	0.06	False	0.2	0.07	False	-0.071	0.001	0.00271	0.00309	0.00036	1e-05	0.0	0.00036	0.99964	1e-05
RVBD2200c	RVBD3682	ctaC	ponA2	-0.41	0.06	False	0.36	0.09	False	0.205	0.173	0.00243	0.0032	0.00029	0.0	0.0	0.00029	0.99971	0.0
RVBD2193	RVBD2447c	ctaE	folC	-0.19	0.08	False	0.56	0.11	False	0.37	0.293	0.00219	0.00341	0.00029	0.0	9e-05	0.00021	0.99971	9e-05
RVBD0392c	RVBD3682	ndhA	ponA2	-0.16	0.04	False	0.78	0.06	False	0.146	-0.05	0.00218	0.00377	0.00029	0.0	0.0	0.00028	0.99971	0.0
RVBD2794c	RVBD3261	pptT	fbiA	-0.13	0.05	False	0.09	0.07	True	0.164	0.142	0.00217	0.00304	0.00027	0.00014	3e-05	0.0001	0.99973	0.00017
RVBD1025	RVBD1304	rv1025	atpB	0.06	0.05	True	-0.23	0.09	False	0.24	0.191	0.00218	0.00304	0.00026	0.00012	3e-05	0.00011	0.99974	0.00015
RVBD0050	RVBD1822	ponA1	pgsA2	0.15	0.06	False	-0.31	0.13	False	0.207	0.176	0.00223	0.00307	0.00022	1e-05	7e-05	0.00015	0.99978	8e-05
RVBD2794c	RVBD3682	pptT	ponA2	-0.33	0.04	False	0.3	0.07	False	0.103	0.015	0.00232	0.00315	0.00021	0.0	0.0	0.00021	0.99979	0.0
RVBD1025	RVBD2764c	rv1025	thyA	-0.26	0.09	False	0.19	0.09	False	0.274	0.178	0.00225	0.00308	0.0002	2e-05	3e-05	0.00015	0.9998	5e-05
RVBD3261	RVBD3682	fbiA	ponA2	-0.15	0.04	False	0.21	0.09	False	0.22	0.177	0.00218	0.00309	0.00014	1e-05	0.0	0.00012	0.99986	2e-05
